LSOA21CD,MEAN_NEAR_DIST,MIN_NEAR_DIST,MAX_NEAR_DIST,VARIANCE_NEAR_DIST,MEDIAN_NEAR_DIST
E01004766,0.067186455,0.032669805,0.137641521,0.002325963,0.049217247
E01004767,0.078054642,0.005581783,0.1456058,0.006080984,0.080515492
E01004768,0.280071609,0.112969872,0.609451694,0.049932805,0.198932434
E01004769,0.050218441,0.013368834,0.089680131,0.001121372,0.048912398
E01004770,0.149449025,0.014100662,0.334431567,0.018753423,0.124631935
E01004771,0.135244513,0.029959888,0.287306645,0.015282607,0.11185576
E01004772,0.144807419,0.092489709,0.191805185,0.001654936,0.14746739
E01004773,0.058823747,0.012329582,0.126427882,0.002742748,0.048268763
E01004774,0.086885002,0.040117692,0.114658038,0.001232566,0.096382138
E01004775,0.279957192,0.013479172,0.623189256,0.064730866,0.241580171
E01004776,0.593999713,0.15028825,1.023787641,0.170351371,0.600961481
E01004777,0.112010833,0.035804618,0.265684181,0.011021263,0.073277267
E01004778,0.120423896,0.0329439,0.304547346,0.01541971,0.072102169
E01004779,0.072076522,0.034586787,0.132036025,0.001853949,0.060841639
E01004780,0.261936337,0.100283073,0.616986273,0.057468388,0.165238001
E01004781,0.201318745,0.056134204,0.455870581,0.033320133,0.146635097
E01004782,0.12449906,0.006741562,0.341170273,0.022245467,0.075042204
E01004783,0.289202454,0.087605203,0.633271968,0.060006838,0.217966322
E01004784,0.140927051,0.066019011,0.237186031,0.005651808,0.13025158
E01004785,0.175263569,0.016063765,0.344559684,0.022167356,0.170215414
E01004786,0.231890082,0.093368595,0.331365468,0.011522339,0.251413132
E01004787,0.061646641,0.007959013,0.108874778,0.002130961,0.064876387
E01004788,0.181440161,0.126426132,0.26807532,0.003945172,0.165629597
E01004789,0.304712964,0.172791662,0.573013654,0.033109583,0.236523271
E01004790,0.108464732,0.031303748,0.161980888,0.003117499,0.120287146
E01004791,0.104508252,0.0278576,0.189391742,0.004672549,0.100391832
E01004792,0.049172359,0.022358831,0.093568988,0.001042228,0.040380809
