LSOA21CD,MEAN_NEAR_DIST,MIN_NEAR_DIST,MAX_NEAR_DIST,MEDIAN_NEAR_DIST,VARIANCE_NEAR_DIST
E01004766,1.405870111,1.289613376,1.493003787,1.42043164,0.007757359
E01004767,0.737835322,0.526068651,1.167820899,0.628725868,0.085786219
E01004768,2.610748283,2.502146185,2.708917371,2.615964788,0.007388265
E01004769,0.89074224,0.752539408,1.009994561,0.900217496,0.016209791
E01004770,0.768247196,0.65823149,0.894984754,0.759886271,0.014054855
E01004771,1.55051463,1.363836906,1.772557652,1.532831981,0.031307584
E01004772,2.208842083,2.12269776,2.263478366,2.224596103,0.003674887
E01004773,1.420501687,1.231067498,1.553467866,1.448735692,0.018399955
E01004774,1.783142225,1.697487626,1.912055721,1.761512777,0.009156319
E01004775,0.632865918,0.326478734,0.89831992,0.653332508,0.073598544
E01004776,1.009133873,0.817537818,1.113626545,1.052685564,0.019249844
E01004777,1.246765312,1.092963637,1.336383403,1.278857103,0.011365179
E01004778,0.948522839,0.863717115,1.013819413,0.958277414,0.003887289
E01004779,0.771121846,0.478240597,1.128152329,0.739047229,0.075401774
E01004780,0.622855512,0.286171362,1.5910475,0.307101593,0.416767485
E01004781,0.722629738,0.567180943,1.064544137,0.629396936,0.052818425
E01004782,0.917115707,0.782660977,1.058731626,0.913535111,0.013669685
E01004783,0.77084025,0.35699687,1.121510844,0.802426644,0.102000611
E01004784,1.675804675,1.460542743,1.907278166,1.667698895,0.033820115
E01004785,1.992013644,1.485221564,2.588030769,1.94740112,0.347316801
E01004786,0.691419411,0.496579542,0.933373538,0.667862281,0.04900043
E01004787,1.862262633,1.695666839,2.071726823,1.840828436,0.024909823
E01004788,0.796614263,0.56785438,1.003984193,0.80730924,0.032781796
E01004789,1.691290437,1.335799544,2.400423085,1.514469559,0.23225573
E01004790,0.824703262,0.579340897,0.942258312,0.88860692,0.029219994
E01004791,1.701194502,1.529610557,1.97823361,1.648466921,0.037666096
E01004792,1.997073139,1.808047592,2.091906489,2.044169237,0.017075822
E01004793,1.95665475,1.621212881,2.276009134,1.964698493,0.086863408
E01004794,1.21717214,1.162966228,1.295768717,1.204976808,0.003447957
E01004795,2.493734211,2.389319216,2.713240852,2.436188388,0.022491782
E01004796,2.062906995,1.768563444,2.32894998,2.077057278,0.056689575
E01004797,1.755351002,1.609466055,1.989248058,1.711344947,0.026654498
E01004798,2.086123166,1.837081545,2.684172496,1.911619312,0.160364273
